english,japanese
"I waited for a __reasonable__ amount of time, but no one showed up.",私は__まあまあ__の時間待ったが、誰も来なかった。
The explorers discovered __ancient__ ruins deep in the jungle.,探検家たちはジャングルの奥深くに__古代__の遺跡を発見した。
The train was so __crowded__ I couldn't find a seat.,電車があまりに__混んでいた__ので、席に座ることができなかった。
The old marketplace is now filled with __empty__ buildings.,古いマーケットは、今は__空っぽの__建物ばかりになっている。
None of my __fellow__ passengers noticed the money on the floor.,__同乗__者は誰も床に落ちているお金に気付かなかった。
The school library is a __rich__ source of information on various subjects.,学校の図書館は、さまざまな分野の__豊富な__情報源だ。
The museum announced that several __valuable__ paintings were damaged in the fire.,火事によって__貴重な__絵画数点が被害にあっと、と美術館は発表した。
"At 205 centimeters, Bob was __easily__ the tallest boy in school.",身長205センチのボブは、__明らかに__学校で1番背の高い男子だった。
I was __especially__ pleased to see that the cost estimate wasn't high.,費用の見積もりが高くなかったことがわかって__特に__うれしかった。
I __carefully__ checked my entire house but still couldn't find my keys.,家の中すべてを__入念に__調べたが、それでも鍵を見つけられなかった。
She __originally__ planned to major in French but changed to Art History.,彼女は__元々__フランス語を専攻する予定だったが、美術史に変更した。
My alarm clock rang at __exactly__ 5:00 a.m.,私の目覚まし時計は午前５時__ちょうど__に鳴った。
"I've seen him in the office, but we've never been __properly__ introduced.",彼を職場で見たことはあるが、お互い__きちんと__自己紹介したことがない。
The judge found him __completely__ innocent of all wrongdoing.,裁判官は、彼のすべての不正行為について__完全に__無罪という判決を下した。
My wife and I __definitely__ hope to visit here again.,私と妻は、__必ず__もう一度ここを訪れたいと思っている。
Our products are __generally__ aimed at teens and young adults.,私たちの商品は、__通常__はティーンエイジャーやヤングアダルトを狙っている。
"The novel was long and, __moreover__, difficult to understand.",その小説は長く、__その上__、理解するのが難しかった。
