english_full,last_reviewed,next_review_date,correct_streak,total_correct,total_incorrect
"He __pulled__ the door just as she pushed, and so she fell.",2025-07-27,2025-08-12,4,4,0
"We live next to an __industrial__ __zone__, but there is very little pollution.",2025-07-27,2025-08-12,4,4,0
"I'm __afraid__ I can't give you credit for the class, due to absences.",2025-07-27,2025-08-12,4,4,0
I prefer larger print because of my __poor__ eyesight.,2025-07-27,2025-08-04,3,3,0
The forest fire __destroyed__ an area of 10 square miles.,2025-07-27,2025-07-29,1,1,1
The __traditional__ role of housewife and mother has changed.,2025-07-27,2025-08-12,4,4,0
The boxer was of __medium__ height and weight.,2025-07-27,2025-08-04,3,3,0
You can order __custom__ T-shirts at the shop around the corner.,2025-07-27,2025-07-29,1,1,0
Obesity is a __common__ cause of heart disease.,2025-07-27,2025-08-12,4,4,0
I found the plot of the movie __confusing__.,2025-07-27,2025-08-28,5,5,0
"Before traveling, be sure to buy __comfortable__ walking shoes.",2025-07-27,2025-08-12,4,4,1
Live performances can be __disappointing__ if you are sitting far from the stage.,2025-07-27,2025-08-12,4,4,0
The king's castle is a __major__ tourist destination.,2025-07-27,2025-08-12,4,4,0
"He always has a __positive__ attitude, no matter what happens.",2025-07-27,2025-08-12,4,4,0
The __whole__ school was amused by the principal's new hairstyle.,2025-07-27,2025-08-12,4,4,0
He is always __willing__ to put in the effort needed to succeed.,2025-07-27,2025-08-12,4,4,0
No one at the office was __aware__ of his health problem.,2025-07-27,2025-09-29,6,6,0
The meal wasn't __worth__ all the money we paid for it.,2025-07-27,2025-08-12,4,4,0
I don't like the lyrics of many __contemporary__ songs.,2025-07-27,2025-08-28,5,5,0
The child was __delighted__ with her birthday gifts.,2025-07-27,2025-08-28,5,5,0
Global warming could produce great __environmental__ change in the near future.,2025-07-27,2025-08-28,5,5,0
The books were aligned in no __particular__ order.,2025-07-27,2025-08-12,4,4,0
I am not __satisfied__ with the repair work on my car.,2025-07-27,2025-08-28,5,5,0
The local buildings were made of stone and had __flat__ roofs.,2025-07-27,2025-07-31,2,4,1
Our company made a __generous__ donation to the city festival.,2025-07-27,2025-08-12,4,4,0
"My father is not well-educated, but I'm __proud__ of him.",2025-07-27,2025-08-12,4,4,0
"I waited for a __reasonable__ amount of time, but no one showed up.",2025-07-27,2025-08-12,4,4,0
The explorers discovered __ancient__ ruins deep in the jungle.,2025-07-27,2025-08-12,4,4,0
The train was so __crowded__ I couldn't find a seat.,2025-07-27,2025-08-12,4,4,0
The old marketplace is now filled with __empty__ buildings.,2025-07-27,2025-08-12,4,4,0
None of my __fellow__ passengers noticed the money on the floor.,2025-07-27,2025-08-28,5,5,0
The school library is a __rich__ source of information on various subjects.,2025-07-27,2025-07-29,1,4,1
The museum announced that several __valuable__ paintings were damaged in the fire.,2025-07-27,2025-08-12,4,4,0
"At 205 centimeters, Bob was __easily__ the tallest boy in school.",2025-07-27,2025-08-12,4,4,0
I was __especially__ pleased to see that the cost estimate wasn't high.,2025-07-27,2025-08-12,4,4,0
I __carefully__ checked my entire house but still couldn't find my keys.,2025-07-27,2025-08-12,4,4,0
She __originally__ planned to major in French but changed to Art History.,2025-07-27,2025-08-12,4,4,1
My alarm clock rang at __exactly__ 5:00 a.m.,2025-07-27,2025-08-12,4,4,0
"I've seen him in the office, but we've never been __properly__ introduced.",2025-07-27,2025-08-12,4,4,0
The judge found him __completely__ innocent of all wrongdoing.,2025-07-27,2025-07-29,1,3,1
My wife and I __definitely__ hope to visit here again.,2025-07-27,2025-08-28,5,5,0
Our products are __generally__ aimed at teens and young adults.,2025-07-27,2025-08-12,4,4,0
"The novel was long and, __moreover__, difficult to understand.",2025-07-27,2025-08-12,4,4,0
